ID,Name,Formula,Category,Molecular Weight (g/mol),Equation Type,T_min (K),T_max (K),Cp at 298.15K,Native Unit,Data Source,Engineering Notes
gla_03,Soda-Lime-Silica Float Glass,72SiO2-14Na2O-10CaO-4MgO,Glasses,65.8,poly,200.0,850.0,840.0,J/(kg*K),Pilkington Glass Technical Manual / SciGlass,Standard architectural window and container glass; Tg ~ 840 K.
gla_04,Aluminosilicate Glass,62SiO2-18Al2O3-10CaO-10MgO,Glasses,68.2,poly,200.0,950.0,810.0,J/(kg*K),Corning Technical Materials / SciGlass,High-temperature resistant glass for halogen lamp envelopes.
gla_05,Lead Crystal Glass (Heavy Flint),45SiO2-45PbO-10K2O,Glasses,125.0,poly,200.0,750.0,480.0,J/(kg*K),Schott Optical Glass Catalog (SF6),High refractive index (nd = 1.805) dense flint glass for radiation shielding.
gla_06,BK7 Optical Crown Glass,Borosilicate Optical,Glasses,64.2,poly,200.0,800.0,820.0,J/(kg*K),Schott N-BK7 Optical Glass Data Sheet,Standard precision optical crown glass for lenses and prisms; nd = 1.5168.
gla_07,Phosphate Laser Glass (LHG-8),Phosphate Matrix,Glasses,95.0,poly,200.0,700.0,720.0,J/(kg*K),Hoya Laser Glass Technical Guide,Nd-doped laser host glass for high-energy fusion laser amplifiers.
gla_08,Chalcogenide Glass (Ge33As12Se55),Ge33As12Se55,Glasses,102.5,poly,200.0,550.0,360.0,J/(kg*K),Amorphous Materials Inc. (AMTIR-1) / SciGlass,Far-infrared transmitting glass (2 - 14 um) for thermal imaging optics.
gla_09,Vycor 96% Silica Glass (Corning 7913),96SiO2-4B2O3,Glasses,60.5,poly,200.0,1200.0,745.0,J/(kg*K),Corning Code 7913 Data Sheet,Leached phase-separated borosilicate reconstituted to pure silica properties.
gla_10,Fluorozirconate Glass (ZBLAN),53ZrF4-20BaF2-4LaF3-3AlF3-20NaF,Glasses,145.0,poly,200.0,580.0,560.0,J/(kg*K),"Lucas et al., Fluoride Glasses / MatWeb",Mid-IR transmitting heavy metal fluoride glass for optical fiber lasers.
gla_11,Bioactive Glass 45S5 (Bioglass),45SiO2-24.5CaO-24.5Na2O-6P2O5,Glasses,68.0,poly,200.0,750.0,830.0,J/(kg*K),"Hench, Bioceramics / J. Biomed. Mater. Res.",Osteoconductive glass forming hydroxycarbonate apatite bond to living bone.
gla_12,Gorilla Glass (Alkali-Aluminosilicate),Na2O-Al2O3-SiO2,Glasses,67.5,poly,200.0,850.0,815.0,J/(kg*K),Corning Gorilla Glass Technical Specification,Ion-exchange strengthened chemically tempered glass for smartphones.
gla_13,E-Glass (Fiber Precursor),54SiO2-14Al2O3-22CaO-8B2O3,Glasses,67.0,poly,200.0,900.0,810.0,J/(kg*K),Owens Corning Fiberglas Data / MatWeb,Low alkali electrical grade continuous glass fibers for polymer reinforcement.
gla_14,S-Glass (High Strength),65SiO2-25Al2O3-10MgO,Glasses,66.5,poly,200.0,1000.0,790.0,J/(kg*K),AGY High Performance Materials / SciGlass,Magnesium aluminosilicate fiber glass with high tensile strength.
gla_15,Obsidian (Natural Volcanic Glass),73SiO2-13Al2O3-4Na2O-4K2O-3FeOx,Glasses,66.8,poly,200.0,900.0,800.0,J/(kg*K),USGS Mineral Data / Carmichael (1979),Naturally occurring felsic igneous extrusive silicate glass.
gla_16,Schott Zerodur Glass-Ceramic,Lithium Aluminosilicate,Glasses,68.0,poly,200.0,850.0,800.0,J/(kg*K),Schott Zerodur Precision Catalog,Zero thermal expansion glass-ceramic for astronomical telescope mirrors.
gla_17,Macor Machinable Glass-Ceramic,Fluorophlogopite-Borosilicate,Glasses,72.0,poly,200.0,1000.0,790.0,J/(kg*K),Corning Macor Machinable Ceramic Data,Mica-containing glass-ceramic machinable with standard metalworking tools.
gla_18,Fused Quartz (GE 124),SiO2,Glasses,60.084,poly,200.0,1400.0,742.0,J/(kg*K),Momentive Quartz Technologies Handbook,High-purity quartz tubing for semiconductor wafer processing furnaces.
gla_19,C-Glass (Chemical Resistant Glass),65SiO2-14CaO-8Na2O-6B2O3,Glasses,66.0,poly,200.0,850.0,830.0,J/(kg*K),Saint-Gobain Vetrotex Technical Bulletin,Borosilicate fiber glass tailored for acidic corrosion barrier surfacing veils.
gla_20,Lead Glass X-Ray Shielding (RD 50),65PbO-25SiO2-10K2O,Glasses,155.0,poly,200.0,700.0,410.0,J/(kg*K),Schott RD 50 Radiation Shielding Glass,Heavy lead glass with lead equivalent > 2 mm for medical radiology viewing.
gla_21,Tellurite Glass (75TeO2-20ZnO-5Na2O),Tellurite Matrix,Glasses,148.0,poly,200.0,600.0,460.0,J/(kg*K),"El-Mallawany, Tellurite Glasses Handbook",High non-linear optical refractive index glass for supercontinuum lasers.
gla_22,Germanate Optical Glass (GeO2-PbO),Germanate Matrix,Glasses,112.0,poly,200.0,750.0,530.0,J/(kg*K),SciGlass Database / J. Non-Cryst. Solids,IR transmitting window glass extending beyond silicate transparency edge.
gla_23,Barium Crown Glass (Schott BaK4),Barium Borosilicate,Glasses,75.0,poly,200.0,800.0,730.0,J/(kg*K),Schott Optical Glass Catalog (BaK4),High refractive index optical prism glass delivering circular exit pupils.
gla_24,Dense Flint Glass (Schott SF11),Lead Silicate Optical,Glasses,135.0,poly,200.0,750.0,450.0,J/(kg*K),Schott SF11 Technical Data Sheet,High chromatic dispersion (Abbe number Vd = 25.76) glass for achromatic doublets.
gla_25,Vitreous Carbon / Glassy Carbon,C (amorphous),Glasses,12.011,poly,200.0,1500.0,760.0,J/(kg*K),Alfa Aesar Glassy Carbon Technical Data,Fullerenic non-graphitizing carbon with extreme thermal and chemical inertness.
ref_01,Magnesite Refractory (95% MgO),MgO Refractory,Refractories,40.3,poly,273.15,2000.0,940.0,J/(kg*K),Harbison-Walker Refractory Handbook / ASTM C455,Basic refractory brick lining for basic oxygen steelmaking furnaces.
ref_02,Dolomite Refractory Brick,CaO-MgO,Refractories,48.2,poly,273.15,1900.0,910.0,J/(kg*K),RHI Magnesita Technical Data,Co-calcined dolomite basic refractory for secondary refining ladles.
ref_03,Fireclay Refractory (Super-Duty),Al2O3-2SiO2 (calcined),Refractories,62.0,poly,273.15,1750.0,880.0,J/(kg*K),ASTM C27 Fireclay Classification / MatWeb,Aluminosilicate general purpose kiln lining brick (35-45% Al2O3).
ref_04,High-Alumina Refractory (70% Al2O3),70Al2O3-30SiO2,Refractories,85.0,poly,273.15,1900.0,920.0,J/(kg*K),Plibrico Refractory Engineering Guide,High hot-strength refractory for blast furnace stoves and cement rotary kilns.
ref_05,Silicon Carbide Refractory (Nitride Bonded),SiC-Si3N4,Refractories,45.0,poly,273.15,1800.0,840.0,J/(kg*K),Saint-Gobain NorPro Cryston Technical Data,High thermal conductivity and abrasion-resistant kiln furniture and cyclones.
ref_06,Chromite Refractory Brick,FeCr2O4-MgAl2O4,Refractories,175.0,poly,273.15,1850.0,730.0,J/(kg*K),Norton Refractory Systems Manual,Neutral refractory with high slag resistance for non-ferrous smelting furnaces.
ref_07,Zirconia-Alumina-Silica (AZS Fused Cast),41ZrO2-46Al2O3-13SiO2,Refractories,115.0,poly,273.15,1950.0,780.0,J/(kg*K),SEPR Refractories / Saint-Gobain (ER-1681),Fused cast monolithic block lining for glass melting furnace sidewalls.
ref_08,Carbon Refractory Block,C (baked anthracite),Refractories,12.011,poly,273.15,2000.0,850.0,J/(kg*K),SGL Carbon Refractory Data,Submerged arc furnace and blast furnace hearth hearth lining block.
ref_09,Nuclear Grade Synthetic Graphite,C (graphitic),Refractories,12.011,poly,273.15,2500.0,715.0,J/(kg*K),Touloukian TPRC Vol. 5 / IAEA Nuclear Graphite Data,Neutron moderator and high-temperature structural material for HTGR reactors.
ref_10,Hafnium Carbide (UHTC),HfC,Refractories,190.5,shomate,298.15,2800.0,37.4,J/(mol*K),NIST Chemistry WebBook / Barin (1995),Ultra-High Temperature Ceramic (UHTC) with extreme melting point (Tm = 4173 K).
ref_11,Tantalum Carbide (UHTC),TaC,Refractories,192.96,shomate,298.15,2800.0,36.8,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Ultra-refractory interstitial carbide (Tm = 4153 K) for hypersonic nose cones.
ref_12,Zirconium Diboride (ZrB2 UHTC),ZrB2,Refractories,112.84,shomate,298.15,2500.0,48.2,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,High thermal conductivity UHTC ceramic for sharp hypersonic leading edges.
ref_13,Hafnium Diboride (HfB2 UHTC),HfB2,Refractories,200.11,shomate,298.15,2500.0,49.5,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Extreme ablation resistance boride UHTC; Tm = 3523 K.
ref_14,Titanium Diboride (TiB2),TiB2,Refractories,69.49,shomate,298.15,2300.0,44.3,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,Electrically conductive refractory ceramic for aluminum Hall-Heroult cathodes.
ref_15,Tantalum Hafnium Carbide (Ta4HfC5),Ta4HfC5,Refractories,962.33,poly,298.15,3000.0,192.0,J/(mol*K),"Lavrentyev et al., Phys. Rev. B / UHTC Data",Highest known melting point compound material system (Tm ~ 4263 K).
ref_16,Magnesia-Carbon Brick (MgO-C),85MgO-15C,Refractories,36.0,poly,273.15,1900.0,940.0,J/(kg*K),Vesuvius Refractory Technology Bulletin,Graphite-bonded magnesite for steel slagline and electric arc furnaces.
ref_17,Zirconia Refractory (YSZ Dense),ZrO2-8Y2O3,Refractories,128.0,poly,273.15,2200.0,520.0,J/(kg*K),Zircoa Technical Ceramics Data,Fully stabilized cubic zirconia for induction skull melting crucibles.
ref_18,Fused Silica Refractory (Isostatic),SiO2,Refractories,60.084,poly,273.15,1400.0,810.0,J/(kg*K),Vesuvius Technical Data Sheet,Submerged entry nozzles (SEN) for continuous casting steel tundishes.
ref_19,Silicon Nitride Refractory (RBSN),Si3N4 (porous),Refractories,140.28,poly,273.15,1650.0,760.0,J/(kg*K),Ceradyne 3M Advanced Ceramics,Reaction-bonded silicon nitride riser tubes for non-ferrous aluminum die casting.
ref_20,Beryllia Refractory (Dense BeO),BeO,Refractories,25.011,poly,273.15,2200.0,1080.0,J/(kg*K),Materion Brush Beryllium Ceramic Manual,Refractory microwave power windows and laser tube bores.
ref_21,Alumina-Graphite Shroud,50Al2O3-30C-20SiO2,Refractories,45.0,poly,273.15,1800.0,900.0,J/(kg*K),Krosaki Harima Refractories Data,Thermal shock resistant pouring shrouds between steel ladle and tundish.
ref_22,Spinel Refractory Brick (MgO-MgAl2O4),Spinel Brick,Refractories,65.0,poly,273.15,1900.0,915.0,J/(kg*K),Refratechnik Cement Kiln Engineering,Chrome-free lining brick for the burning zone of cement rotary kilns.
ref_23,Cordierite-Mullite Kiln Shelf,Al2O3-SiO2-MgO,Refractories,80.0,poly,273.15,1550.0,880.0,J/(kg*K),Saint-Gobain Refractory Ceramics,Low thermal expansion sagging-resistant firing batts for porcelain production.
ref_24,Boron Nitride Hot-Pressed (HBN),BN solid,Refractories,24.82,poly,273.15,2000.0,900.0,J/(kg*K),Saint-Gobain Combat BN Data,Non-wetting crucible for molten metal evaporation and horizontal casting break rings.
ref_25,Sillimanite Refractory Brick,Al2SiO5,Refractories,162.05,poly,273.15,1750.0,870.0,J/(kg*K),Morgan Advanced Materials Refractories,Natural aluminosilicate refractory for glass feeder expendables and forehearths.
comp_01,Carbon Fiber/Epoxy Composite (CFRP UD 60% vf),C-Fiber/Epoxy (60% vf),Composite materials,35.0,poly,200.0,450.0,1100.0,J/(kg*K),Hexcel HexPly M21/T800S Data / MIL-HDBK-17,High-strength unidirectional carbon composite for aircraft fuselage skins.
comp_02,Glass Fiber/Epoxy Composite (GFRP 55% vf),E-Glass/Epoxy (55% vf),Composite materials,52.0,poly,200.0,420.0,1120.0,J/(kg*K),Owens Corning WindStrand Data / MIL-HDBK-17,High fatigue resistance composite for wind turbine rotor blades.
comp_03,Aramid/Kevlar Epoxy Composite (AFRP 50% vf),Kevlar-49/Epoxy (50% vf),Composite materials,42.0,poly,200.0,420.0,1300.0,J/(kg*K),DuPont Kevlar Composites Guide,High impact absorption composite for ballistic spall liners and radomes.
comp_04,Aluminum-Silicon Carbide MMC (Al-20% SiC),Al-20% SiCp,Composite materials,28.5,poly,250.0,750.0,860.0,J/(kg*K),Materion Supaform MMC / ASM Handbook Vol. 21,Particle-reinforced metal matrix composite for lightweight automotive brake rotors.
comp_05,Copper-Tungsten Contact MMC (Cu-70% W),W70Cu30,Composite materials,147.7,poly,250.0,1100.0,245.0,J/(kg*K),Plansee Tungsten-Copper Composites Manual,Arc-erosion resistant heavy MMC for high-voltage SF6 circuit breaker arcing tips.
comp_06,Carbon-Carbon Composite (C/C 2D Fabric),C-Fiber/C-Matrix,Composite materials,12.011,poly,200.0,2200.0,820.0,J/(kg*K),Safran Landing Systems / Touloukian TPRC Vol. 5,Non-melting frictional material for commercial jet transport brake discs.
comp_07,SiC-SiC Ceramic Matrix Composite (CMC),SiC-Fiber/SiC-Matrix,Composite materials,40.1,poly,250.0,1600.0,720.0,J/(kg*K),GE Aviation CFM LEAP CMC Shroud Data / NASA TM,High-temperature continuous fiber ceramic composite for jet engine hot-stage shrouds.
comp_08,Tungsten Carbide-Cobalt Cermet (WC-10Co),WC-10wt%Co,Composite materials,182.1,poly,250.0,1200.0,230.0,J/(kg*K),Sandvik Coromant Hard Materials Catalog,Sintered cemented carbide for CNC indexable metal cutting inserts.
comp_09,Titanium Carbide-Nickel Cermet (TiC-Ni),TiC-15wt%Ni,Composite materials,59.7,poly,250.0,1200.0,505.0,J/(kg*K),Kennametal High-Speed Finishing Cermet Data,High-speed steel finishing cermet providing mirror surface finish.
comp_10,Portland Cement Concrete (Standard Mix),Silicate Hydrate / Aggregate,Composite materials,75.0,poly,250.0,800.0,880.0,J/(kg*K),NIST Building Materials Database / Mindess Concrete,Civil infrastructure structural mass composite.
comp_11,Structural Wood (Douglas Fir 12% MC),Cellulose-Lignin Matrix,Composite materials,50.0,poly,220.0,380.0,1700.0,J/(kg*K),USDA Forest Products Laboratory Wood Handbook,Natural cellular polymer-matrix fiber composite.
comp_12,Dental Hybrid Composite Resin,75% Bis-GMA / 25% Ba-Glass,Composite materials,85.0,poly,250.0,360.0,1100.0,J/(kg*K),3M ESPE Filtek Technical Product Profile,Photocurable microhybrid aesthetic dental tooth filling material.
comp_13,FR-4 Glass-Epoxy Circuit Board Laminate,E-Glass/FR-4 Epoxy,Composite materials,58.0,poly,200.0,420.0,1100.0,J/(kg*K),Isola Group FR406 Data Sheet / IPC-4101,Flame-retardant printed circuit board dielectric core laminate.
comp_14,Basalt Fiber Reinforced Polymer (BFRP),Basalt-Fiber/Vinyl Ester,Composite materials,54.0,poly,200.0,420.0,1130.0,J/(kg*K),Kamenny Vek Basalt Fibers / MatWeb,Corrosion-proof composite rebar for marine concrete infrastructure.
comp_15,Graphene-Epoxy Nanocomposite (1 wt%),Epoxy + 1% Graphene,Composite materials,120.0,poly,200.0,420.0,1260.0,J/(kg*K),"Rafiee et al., Small / Nanotechnology Data",Polymer nanocomposite with enhanced interlaminar shear toughness.
comp_16,Alumina-Zirconia Nanocomposite (ATZ 80/20),80Al2O3-20ZrO2,Composite materials,106.0,poly,250.0,1600.0,750.0,J/(kg*K),CeramTec BIOLOX delta Data / Biomaterials,Transformation-toughened ceramic composite for ceramic femoral heads.
comp_17,Zirconia-Toughened Alumina (ZTA 85/15),85Al2O3-15ZrO2,Composite materials,105.0,poly,250.0,1600.0,760.0,J/(kg*K),Dynamic-Ceramic ZTA Handbook,Wear-resistant ceramic composite for mining slurry pump valve seals.
comp_18,B4C-Al Cermet (Boral 40% B4C),B4C-Al Matrix,Composite materials,38.0,poly,250.0,750.0,920.0,J/(kg*K),Ceradyne Boral Plate Manual,Neutron poison absorption cermet for spent nuclear fuel dry storage casks.
comp_19,Carbon Fiber/PEEK Composite (CF/PEEK 60% vf),AS4/PEEK APC-2,Composite materials,45.0,poly,200.0,550.0,1250.0,J/(kg*K),Solvay APC-2 Data / SAMPE Technical Papers,Thermoplastic matrix aerospace composite with unlimited shelf life and recyclability.
comp_19b,Carbon Fiber/BMI Composite (CF/Bismaleimide),C-Fiber/BMI Matrix,Composite materials,38.0,poly,200.0,520.0,1150.0,J/(kg*K),Cytec 5250-4 BMI Manual / MIL-HDBK-17,High-temperature composite for supersonic fighter leading edges (service > 200 C).
comp_20,Syntactic Foam Composite (Glass Microspheres/Epoxy),Hollow Glass/Epoxy,Composite materials,42.0,poly,200.0,380.0,1420.0,J/(kg*K),Trelleborg Offshore Syntactic Foam Guide,Deep-sea buoyant lightweight composite for subsea ROVs and submarines.
comp_21,SiC Whisker Reinforced Alumina (Al2O3-SiCw),Al2O3-25wt%SiCw,Composite materials,86.5,poly,250.0,1600.0,780.0,J/(kg*K),Greenleaf WG-300 Whisker Ceramic Data,Extreme shock resistant cutting tool ceramic for nickel-base superalloy milling.
comp_22,Metal-Diamond Thermal Substrate (Cu-50% Diamond),Cu-Diamond MMC,Composite materials,37.8,poly,200.0,800.0,480.0,J/(kg*K),Plansee Cu-Diamond Heat Sink Data,High thermal conductivity (600 W/m-K) heat sink composite for GaN power RF chips.
comp_23,Al-Diamond Composite (Al-50% Diamond),Al-Diamond MMC,Composite materials,19.5,poly,200.0,750.0,790.0,J/(kg*K),Denka Thermal Solution Plate Manual,Ultra-lightweight high thermal conductivity baseplate for aerospace power modules.
comp_24,"Glass-Filled Nylon 6,6 (PA66-GF30)",PA66-30% Glass,Composite materials,175.0,poly,200.0,480.0,1380.0,J/(kg*K),BASF Ultramid A3EG6 Data Sheet,Dimensionally stable injection moldable automotive intake manifold compound.
adv_01,YBCO High-Tc Superconductor,YBa2Cu3O7,Other technologically relevant materials,666.19,poly,50.0,600.0,275.0,J/(mol*K),"Junod et al., Physica C / Materials Project",First high-Tc superconductor operating above liquid nitrogen (Tc = 93 K).
adv_02,BSCCO High-Tc Superconductor,Bi2Sr2Ca2Cu3O10,Other technologically relevant materials,1023.9,poly,50.0,600.0,410.0,J/(mol*K),Physica C / Superconductor Science Data,First-generation high-temperature superconducting wire compound (Tc = 110 K).
adv_03,Magnesium Diboride Superconductor,MgB2,Other technologically relevant materials,45.93,shomate,50.0,800.0,42.1,J/(mol*K),"Nagamatsu et al., Nature / NIST",Conventional phonon-mediated superconductor with record Tc = 39 K.
adv_04,Niobium-Titanium Superconductor (Nb-47Ti),Nb53Ti47,Other technologically relevant materials,71.72,poly,10.0,500.0,385.0,J/(kg*K),"Wilson, Superconducting Magnets / CERN Data",Ductile type-II superconductor wire for all medical MRI magnets and LHC.
adv_05,Niobium-Tin Superconductor (Nb3Sn),Nb3Sn,Other technologically relevant materials,397.43,poly,20.0,600.0,95.0,J/(mol*K),ITER Superconducting Magnet Specs / IEEE Trans. Appl. Supercond.,A15 intermetallic compound superconductor for high-field ITER fusion magnets (Tc = 18 K).
adv_06,Lithium Cobalt Oxide (LCO Battery Cathode),LiCoO2,Other technologically relevant materials,97.87,shomate,200.0,750.0,75.2,J/(mol*K),"NIST Chemistry WebBook / Takahashi et al., J. Chem. Thermodyn.",Layered rocksalt cathode in high-energy smartphone lithium-ion batteries.
adv_07,Lithium Iron Phosphate (LFP Battery Cathode),LiFePO4,Other technologically relevant materials,157.76,shomate,200.0,700.0,118.5,J/(mol*K),"J. Chem. Thermodyn. / Wang et al., Solid State Ionics",Olivine cathode renowned for extreme thermal stability and long cycle life.
adv_08,Lithium Nickel Manganese Cobalt Oxide (NMC-811),LiNi0.8Mn0.1Co0.1O2,Other technologically relevant materials,97.28,poly,200.0,600.0,980.0,J/(kg*K),"Dahn et al., J. Electrochem. Soc. / Argonne Lab Data",State-of-the-art EV battery cathode for high energy density (250 Wh/kg pack).
adv_09,Lithium Titanate (LTO Battery Anode),Li4Ti5O12,Other technologically relevant materials,459.08,poly,200.0,800.0,385.0,J/(mol*K),"Tarascon et al., Solid State Ionics / MatWeb",Zero-strain insertion anode enabling 10-minute ultra-fast EV charging.
adv_10,Lithium Manganese Oxide Spinel (LMO),LiMn2O4,Other technologically relevant materials,180.81,shomate,200.0,750.0,134.0,J/(mol*K),NIST Chemistry WebBook / JANAF Tables,3D framework spinel cathode for power tool battery packs.
adv_11,Cobalt Skutterudite Thermoelectric,CoSb3,Other technologically relevant materials,424.19,poly,200.0,850.0,99.0,J/(mol*K),"Caillat et al., J. Appl. Phys. / NASA JPL Data",Cage-structured skutterudite for automotive exhaust heat energy harvesting.
adv_12,Germanium Telluride (p-Type Thermoelectric),GeTe,Other technologically relevant materials,200.22,shomate,250.0,950.0,50.4,J/(mol*K),NIST Chemistry WebBook / Barin (1995),High-performance mid-temperature thermoelectric (ZT > 2.0 upon alloying).
adv_13,Tin Selenide (Single Crystal),SnSe,Other technologically relevant materials,197.66,poly,250.0,900.0,50.1,J/(mol*K),"Zhao et al., Nature / Science Thermoelectrics Data",Record high ZT = 2.6 thermoelectric compound with ultra-low lattice thermal conductivity.
adv_14,Half-Heusler Thermoelectric (TiNiSn),TiNiSn,Other technologically relevant materials,225.28,poly,250.0,1000.0,73.5,J/(mol*K),"Tritt, Recent Trends in Thermoelectric Materials Research",Thermally robust and mechanically strong half-Heusler alloy for industrial waste heat.
adv_15,Uranium Dioxide (Nuclear Fuel),UO2,Other technologically relevant materials,270.03,shomate,298.15,3000.0,63.6,J/(mol*K),"Fink (2000), J. Nucl. Mater. / IAEA Thermophysical Database",Fluorite ceramic nuclear fuel for all pressurized light water reactors (PWR/BWR).
adv_16,Thorium Dioxide (Nuclear Breeding Fuel),ThO2,Other technologically relevant materials,264.04,shomate,298.15,3000.0,61.8,J/(mol*K),IAEA Nuclear Database / JANAF Tables,High thermal conductivity breeding fuel with highest oxide melting point (Tm = 3663 K).
adv_17,Plutonium Dioxide,PuO2,Other technologically relevant materials,276.06,shomate,298.15,2800.0,66.2,J/(mol*K),IAEA Thermophysical Properties / NIST,Ceramic component in mixed-oxide (MOX) nuclear reactor fuels.
adv_18,Zircaloy-4 (Nuclear Cladding Alloy),Zr-1.5Sn-0.2Fe-0.1Cr,Other technologically relevant materials,91.0,poly,298.15,1200.0,305.0,J/(kg*K),MATPRO Nuclear Materials Handbook / IAEA-TECDOC,Corrosion resistant zirconium alloy for fuel rod cladding tubes.
adv_19,Liquid Sodium (Fast Reactor Coolant),Na (liquid),Other technologically relevant materials,22.99,poly,371.0,1150.0,1280.0,J/(kg*K),"Foust, Sodium-NaK Engineering Handbook / IAEA",Liquid metal coolant with superior heat transfer for sodium fast nuclear reactors.
adv_20,Liquid Lead-Bismuth Eutectic (LBE),Pb44.5Bi55.5,Other technologically relevant materials,208.2,poly,398.0,1100.0,149.0,J/(kg*K),OECD-NEA Lead-Bismuth Eutectic Handbook,Heavy liquid metal spallation target and Gen-IV nuclear coolant.
adv_21,Hydroxyapatite (Bone Mineral Biomaterial),Ca10(PO4)6(OH)2,Other technologically relevant materials,1004.6,poly,200.0,1400.0,830.0,J/(mol*K),"Robie & Hemingway, USGS Bulletin / Biomaterials Data",Synthetic bone substitute bioceramic for plasma-sprayed orthopedic implants.
adv_22,beta-Tricalcium Phosphate (Bioactive),Ca3(PO4)2,Other technologically relevant materials,310.18,poly,200.0,1400.0,235.0,J/(mol*K),USGS Bulletin 2131 / Biomaterials Manual,Resorbable osteoconductive bone graft bioceramic.
adv_23,Titanium Grade 2 (Pure Medical Implant),Ti (unalloyed),Other technologically relevant materials,47.867,poly,250.0,1150.0,523.0,J/(kg*K),ASTM F67 / ASM Handbook Vol. 2,Biocompatible dental implant and bone fixation screw titanium.
adv_24,Co-Cr-Mo Alloy (ASTM F75 Cast Implant),Co-28Cr-6Mo,Other technologically relevant materials,60.5,poly,250.0,1300.0,450.0,J/(kg*K),ASTM F75 / ASM Handbook: Medical Devices,High wear and corrosion resistant alloy for artificial hip and knee joints.
adv_25,Cu-Al-Ni High-Temp Shape Memory Alloy,Cu-14Al-4Ni,Other technologically relevant materials,62.1,poly,250.0,800.0,445.0,J/(kg*K),"Otsuka & Wayman, Shape Memory Materials",High-temperature shape memory alloy operating up to 200 C.
adv_26,Solid State Electrolyte LLZO,Li7La3Zr2O12,Other technologically relevant materials,839.8,poly,200.0,900.0,620.0,J/(mol*K),Garnet Solid State Electrolyte Data / J. Power Sources,Fast garnet-structured lithium ion conductor for non-flammable solid batteries.
adv_27,Sodium Vanadium Phosphate (NVP Na-Ion Cathode),Na3V2(PO4)3,Other technologically relevant materials,451.76,poly,200.0,700.0,385.0,J/(mol*K),"Goodenough et al., NASICON Battery Research",NASICON-structured cathode material for low-cost grid sodium-ion batteries.
adv_28,Graphene (Single Layer Monolayer),C (2D lattice),Other technologically relevant materials,12.011,poly,100.0,1500.0,710.0,J/(kg*K),"Pop et al., Nano Research / Balandin (2011)",2D carbon crystal with ballistic thermal transport and extreme in-plane stiffness.
adv_29,Multi-Walled Carbon Nanotubes (MWCNT),C (tubular),Other technologically relevant materials,12.011,poly,100.0,1500.0,680.0,J/(kg*K),"Hone et al., Phys. Rev. B / Touloukian TPRC",High-aspect ratio cylindrical carbon allotrope for conductive composites.
adv_30,"Poly(3,4-ethylenedioxythiophene) (PEDOT:PSS)",Conducting Polymer,Other technologically relevant materials,150.0,poly,200.0,420.0,1520.0,J/(kg*K),"Groenendaal et al., Adv. Mater. / PoLyInfo",Inherently conductive conjugated polymer for organic flexible electronics and OLEDs.
